"Save & Send Email","Save & Send Email"
Edit,Edit
"General Infomation","General Infomation"
Information,Information
"Order ID","Order ID"
"Gift Card Code","Gift Card Code"
Status,Status
Website,Website
"Initial code value","Initial code value"
"Current Balance","Current Balance"
"Expiry Date","Expiry Date"
Comment,Comment
"Order #","Order #"
"Purchased On","Purchased On"
"Bill to Name","Bill to Name"
"Shipped to Name","Shipped to Name"
"Order Total","Order Total"
"Bought From","Bought From"
Action,Action
View,View
"Resend Gift Card","Resend Gift Card"
"Send Gift Card","Send Gift Card"
"Recipient Email","Recipient Email"
"Recipient Name","Recipient Name"
"Send Email from the Following Store View","Send Email from the Following Store View"
"Account Information","Account Information"
"Save and Continue Edit","Save and Continue Edit"
"New Gift Code Account","New Gift Code Account"
"Code Pool","Code Pool"
Image,Image
Store,Store
Balance,Balance
"Send Information","Send Information"
"Sender Name","Sender Name"
"Sender Email","Sender Email"
"Sender Message","Sender Message"
"Date Delivery","Date Delivery"
General,General
"General Information","General Information"
"Code Pool Name","Code Pool Name"
"Generate Codes","Generate Codes"
"Generated codes template","Generated codes template"
"Generated codes qty","Generated codes qty"
"Import Codes","Import Codes"
"CSV File","CSV File"
"Each gift code on a new line","Each gift code on a new line"
"Codes List","Codes List"
Code,Code
Used,Used
Delete,Delete
"Are you sure?","Are you sure?"
CSV,CSV
"Template Information","Template Information"
"Image Title","Image Title"
Inactive,Inactive
Active,Active
"Upload Image","Upload Image"
"Please, specify code position","Please, specify code position"
"ALL GROUPS","ALL GROUPS"
"Add Price","Add Price"
"Card Value","Card Value"
"Card Type","Card Type"
"Image Id %1","Image Id %1"
"Gift Card Image","Gift Card Image"
"Gift Card Sender","Gift Card Sender"
"Gift Card Recipient","Gift Card Recipient"
"Gift Card Message","Gift Card Message"
"Gift Card Lifetime","Gift Card Lifetime"
"%1 days","%1 days"
"Date of certificate delivery","Date of certificate delivery"
"Unable to create.","Unable to create."
N/A,N/A
"Gift Card Accounts","Gift Card Accounts"
"Gift Card (%1)","Gift Card (%1)"
"Gift Card","Gift Card"
"This Gift Code already exists","This Gift Code already exists"
"Gift Card has been successfully added","Gift Card has been successfully added"
"Wrong Gift Card code","Wrong Gift Card code"
"Gift Cards","Gift Cards"
"Gift Card has been successfully removed","Gift Card has been successfully removed"
"Gift Code Accounts","Gift Code Accounts"
"The email has been sent successfully.","The email has been sent successfully."
"The code account has been saved.","The code account has been saved."
"Something went wrong while saving the Account data. Please review the error log.","Something went wrong while saving the Account data. Please review the error log."
"Account has been deleted.","Account has been deleted."
"This item no longer exists.","This item no longer exists."
"Edit Gift Code Account","Edit Gift Code Account"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Gift Code Pools","Gift Code Pools"
"Code Pool has been deleted.","Code Pool has been deleted."
"Code has been deleted.","Code has been deleted."
"Edit Gift Code Pool","Edit Gift Code Pool"
"New Gift Code Pool","New Gift Code Pool"
"The wrong Code Pool is specified.","The wrong Code Pool is specified."
"Record has been successfully saved","Record has been successfully saved"
"Something went wrong while saving the Code Pool data. Please review the error log.","Something went wrong while saving the Code Pool data. Please review the error log."
"Gift Card Images","Gift Card Images"
"Image has been deleted.","Image has been deleted."
"Edit Gift Image","Edit Gift Image"
"New Gift Image","New Gift Image"
"The wrong Image is specified.","The wrong Image is specified."
"Something went wrong while saving the Image data. Please review the error log.","Something went wrong while saving the Image data. Please review the error log."
"This gift card account is already in the quote.","This gift card account is already in the quote."
"Gift Card ""%1"" was added.","Gift Card ""%1"" was added."
"Cannot apply gift card.","Cannot apply gift card."
"Gift Card was removed.","Gift Card was removed."
"Both Virtual and Printed","Both Virtual and Printed"
"Only Printed","Only Printed"
"Only Virtual","Only Virtual"
"Card Value in %1","Card Value in %1"
"Custom Card Value","Custom Card Value"
"Card Image","Card Image"
Timezone,Timezone
Message,Message
"Please correct the target currency.","Please correct the target currency."
Expired,Expired
"Not enough free codes in the pool.","Not enough free codes in the pool."
"Wrong gift card code","Wrong gift card code"
"Wrong gift card website","Wrong gift card website"
"Gift card %1 is expired.","Gift card %1 is expired."
"Gift card %1 is used.","Gift card %1 is used."
"Gift card %1 is not enabled.","Gift card %1 is not enabled."
"Gift card %1  balance does not have funds.","Gift card %1  balance does not have funds."
"Please be aware that it is not possible to use 
                the gift card you purchased for your own orders.","Please be aware that it is not possible to use 
                the gift card you purchased for your own orders."
"Maximum number of code combinations for the current template achieved","Maximum number of code combinations for the current template achieved"
"Please add {L} or {D} placeholders into the template ""%1""","Please add {L} or {D} placeholders into the template ""%1"""
"Maximum number of code combinations for the current template is %1, 
            please update Quantity field accordingly.","Maximum number of code combinations for the current template is %1, 
            please update Quantity field accordingly."
"Over time, you can generate no more than %1 codes.","Over time, you can generate no more than %1 codes."
Percent,Percent
Fixed,Fixed
Virtual,Virtual
Printed,Printed
Combined,Combined
"An error has occurred while preparing Gift Card.","An error has occurred while preparing Gift Card."
"Please specify %1","Please specify %1"
"Please specify all the required information.","Please specify all the required information."
"Gift Card min amount is %1","Gift Card min amount is %1"
"Gift Card max amount is %1","Gift Card max amount is %1"
