"Panda Group Extensions","Panda Group Extensions"
"* Required Fields","* Benötigte Felder",theme,frontend/PandaGroup/PureSecretsTheme
Contact form,Kontaktformular,theme,frontend/PandaGroup/PureSecretsTheme
Send us an email,Schreiben Sie uns eine E-Mail.,theme,frontend/PandaGroup/PureSecretsTheme
We are looking forward to contact you,Wir freuen uns auf Ihre Kontaktaufnahme.,theme,frontend/PandaGroup/PureSecretsTheme
"Write Us","Schreiben Sie uns",theme,frontend/PandaGroup/PureSecretsTheme
"Jot us a note and we’ll get back to you as quickly as possible.","Schreib uns eine Nachricht und wir melden uns so schnell wie möglich bei dir.",theme,frontend/PandaGroup/PureSecretsTheme
Name,Vorname,theme,frontend/PandaGroup/PureSecretsTheme
"Ania tlumaczy","Anna translates",theme,frontend/PandaGroup/PureSecretsTheme
Email,Email Adresse,theme,frontend/PandaGroup/PureSecretsTheme
Comment, Kommentar,theme,frontend/PandaGroup/PureSecretsTheme
"Fields marked with a * are mandatory","Die mit einem * markierten Felder sind Pflichtfelder.",theme,frontend/PandaGroup/PureSecretsTheme
"Submit","Einreichen",theme,frontend/PandaGroup/PureSecretsTheme
Order, Bestellnummer,theme,frontend/PandaGroup/PureSecretsTheme
"Phone Number","Telefonnummer",theme,frontend/PandaGroup/PureSecretsTheme
"What’s on your mind?","What’s on your mind?",theme,frontend/PandaGroup/PureSecretsTheme
Go back,Zurück,theme,frontend/PandaGroup/PureSecretsTheme
Send email,E-Mail senden,theme,frontend/PandaGroup/PureSecretsTheme
Forgot your password?,Passwort vergessen?,theme,frontend/PandaGroup/PureSecretsTheme
Forgot your Password?,Passwort vergessen?,theme,frontend/PandaGroup/PureSecretsTheme
"Forgot Your Password?","Passwort vergessen?",theme,frontend/PandaGroup/PureSecretsTheme
"Your email", "Ihre E-Mail-Adresse",theme,frontend/PandaGroup/PureSecretsTheme
Your password, Ihr Passwort,theme,frontend/PandaGroup/PureSecretsTheme
"If you have an account, sign in with your email address.", "Einloggen mit Ihrer E-Mail-Adresse und Ihrem Passwort",theme,frontend/PandaGroup/PureSecretsTheme
"Sign In","Anmedlen",theme,frontend/PandaGroup/PureSecretsTheme
Registered Customers,Ich bin bereits Kunde,theme,frontend/PandaGroup/PureSecretsTheme
"Fill in with correct streetname and number, please",Bitte beachten Sie die korrekte Schreibweise Ihrer Adresse inkl. Hausnummer.,theme,frontend/PandaGroup/PureSecretsTheme
"There was a problem with the subscription: This email address is already subscribed.","Es gab ein Problem mit dem Abonnement: Diese E-Mail-Adresse ist bereits abonniert.",theme,frontend/PandaGroup/PureSecretsTheme
Medium,mittel,theme,frontend/PandaGroup/PureSecretsTheme
Weak,schwach,theme,frontend/PandaGroup/PureSecretsTheme
Strong,stark,theme,frontend/PandaGroup/PureSecretsTheme
"Very Strong","sehr stark",theme,frontend/PandaGroup/PureSecretsTheme
"You updated your password.", "Du hast dein Passwort aktualisiert.",theme,frontend/PandaGroup/PureSecretsTheme
"Please enter the same value again.","Bitte geben Sie den gleichen Wert erneut ein.",theme,frontend/PandaGroup/PureSecretsTheme
"Adding...","Hinzufügen...",theme,frontend/PandaGroup/PureSecretsTheme
"Added","Hinzugefügt",theme,frontend/PandaGroup/PureSecretsTheme
"This is a required field.","Dies ist ein Pflichtfeld.",theme,frontend/PandaGroup/PureSecretsTheme
"Please enter a valid email address.","Bitte geben Sie eine gültige E-Mail-Adresse ein.",theme,frontend/PandaGroup/PureSecretsTheme
"Please enter a valid email address (Ex: johndoe@domain.com).","Bitte geben Sie eine gültige E-Mail-Adresse<br />ein (z. B. johndoe@domain.com).",theme,frontend/PandaGroup/PureSecretsTheme
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Die minimale Länge dieses Feldes muss gleich oder größer als %1 Symbole sein. Führende und nachfolgende Leerzeichen werden ignoriert.",theme,frontend/PandaGroup/PureSecretsTheme
"Too many password reset requests. Please wait and try again or contact %1.","Zu viele Anfragen zum Zurücksetzen des Passworts. Bitte warten Sie und versuchen Sie es erneut oder wenden Sie sich an %1.",theme,frontend/PandaGroup/PureSecretsTheme
"You did not sign in correctly or your account is temporarily disabled.","Sie haben sich nicht korrekt angemeldet oder Ihr Konto ist vorübergehend deaktiviert.",theme,frontend/PandaGroup/PureSecretsTheme
"%1 has been added to your Wish List.","%1 wurde Ihrer Wunschliste hinzugefügt.",theme,frontend/PandaGroup/PureSecretsTheme
"Click <a href=""%1"">here</a> to continue shopping.","Klicken Sie <a href=""%1"">hier</a>, um mit dem Einkauf fortzufahren.",theme,frontend/PandaGroup/PureSecretsTheme
"You saved the account information.","Sie haben die Kontoinformationen gespeichert.",theme,frontend/PandaGroup/PureSecretsTheme
"Your password reset link has expired.","Der Link zum Zurücksetzen des Passworts ist abgelaufen.",theme,frontend/PandaGroup/PureSecretsTheme
"We saved the subscription.","Wir haben das Abonnement gespeichert.",theme,frontend/PandaGroup/PureSecretsTheme
"No spam, promised","Kein Spam, versprochen",theme,frontend/PandaGroup/PureSecretsTheme
"Qty","Menge",theme,frontend/PandaGroup/PureSecretsTheme
"Recently added item(s)","Zuletzt ergänzte artikel",theme,frontend/PandaGroup/PureSecretsTheme
"Cart Subtotal","Warenkorb Zwischensumme",theme,frontend/PandaGroup/PureSecretsTheme
"Item in Cart","Artikel im Warenkorb",theme,frontend/PandaGroup/PureSecretsTheme/Magento_Checkout
"View and Edit Cart","Einkaufswagen anzeigen",theme,frontend/PandaGroup/PureSecretsTheme
